,datetime,By_or_at_Musk,variable,value
975,2022-09-14 00:00:00+00:00,Mentions @elonmusk,ukraine,0.5301441802339109
976,2022-09-15 00:00:00+00:00,By @elonmusk,ukraine,0.0
977,2022-09-15 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
978,2022-09-16 00:00:00+00:00,By @elonmusk,ukraine,0.0
979,2022-09-16 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
980,2022-09-17 00:00:00+00:00,By @elonmusk,ukraine,0.0
981,2022-09-17 00:00:00+00:00,Mentions @elonmusk,ukraine,0.7534375081667191
982,2022-09-18 00:00:00+00:00,By @elonmusk,ukraine,0.0
983,2022-09-18 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
984,2022-09-19 00:00:00+00:00,By @elonmusk,ukraine,0.0
985,2022-09-19 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
986,2022-09-20 00:00:00+00:00,By @elonmusk,ukraine,0.0
987,2022-09-20 00:00:00+00:00,Mentions @elonmusk,ukraine,1.2400641649580175
988,2022-09-21 00:00:00+00:00,By @elonmusk,ukraine,0.0
989,2022-09-21 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
990,2022-09-22 00:00:00+00:00,By @elonmusk,ukraine,0.0
991,2022-09-22 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
992,2022-09-23 00:00:00+00:00,By @elonmusk,ukraine,0.0
993,2022-09-23 00:00:00+00:00,Mentions @elonmusk,ukraine,1.4703038548733232
994,2022-09-24 00:00:00+00:00,By @elonmusk,ukraine,0.0
995,2022-09-24 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
996,2022-09-25 00:00:00+00:00,By @elonmusk,ukraine,0.0
997,2022-09-25 00:00:00+00:00,Mentions @elonmusk,ukraine,0.3338179611836981
998,2022-09-26 00:00:00+00:00,By @elonmusk,ukraine,0.0
999,2022-09-26 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
1000,2022-09-27 00:00:00+00:00,By @elonmusk,ukraine,0.0
1001,2022-09-27 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
1002,2022-09-28 00:00:00+00:00,By @elonmusk,ukraine,0.0
1003,2022-09-28 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
1004,2022-09-29 00:00:00+00:00,By @elonmusk,ukraine,0.0
1005,2022-09-29 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
1006,2022-09-30 00:00:00+00:00,By @elonmusk,ukraine,0.0
1007,2022-09-30 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
1008,2022-10-01 00:00:00+00:00,By @elonmusk,ukraine,0.0
1009,2022-10-01 00:00:00+00:00,Mentions @elonmusk,ukraine,0.6071674784839012
1010,2022-10-02 00:00:00+00:00,By @elonmusk,ukraine,0.0
1011,2022-10-02 00:00:00+00:00,Mentions @elonmusk,ukraine,1.5607685578920374
1012,2022-10-03 00:00:00+00:00,By @elonmusk,ukraine,3.8039166672739566
1013,2022-10-03 00:00:00+00:00,Mentions @elonmusk,ukraine,21.910109496257334
1014,2022-10-04 00:00:00+00:00,By @elonmusk,ukraine,0.0
1015,2022-10-04 00:00:00+00:00,Mentions @elonmusk,ukraine,9.778011157267597
1016,2022-10-05 00:00:00+00:00,By @elonmusk,ukraine,0.0
1017,2022-10-05 00:00:00+00:00,Mentions @elonmusk,ukraine,3.782869006265199
1018,2022-10-06 00:00:00+00:00,By @elonmusk,ukraine,1.3694228679576281
1019,2022-10-06 00:00:00+00:00,Mentions @elonmusk,ukraine,24.802083721240688
1020,2022-10-07 00:00:00+00:00,By @elonmusk,ukraine,0.0
1021,2022-10-07 00:00:00+00:00,Mentions @elonmusk,ukraine,7.350516266259721
1022,2022-10-08 00:00:00+00:00,By @elonmusk,ukraine,0.0
1023,2022-10-08 00:00:00+00:00,Mentions @elonmusk,ukraine,0.3176412556588993
1024,2022-10-09 00:00:00+00:00,By @elonmusk,ukraine,0.6100982365514207
1025,2022-10-09 00:00:00+00:00,Mentions @elonmusk,ukraine,10.513043804981539
1026,2022-10-10 00:00:00+00:00,By @elonmusk,ukraine,0.0
1027,2022-10-10 00:00:00+00:00,Mentions @elonmusk,ukraine,4.308025055644549
1028,2022-10-11 00:00:00+00:00,By @elonmusk,ukraine,0.0
1029,2022-10-11 00:00:00+00:00,Mentions @elonmusk,ukraine,6.226384536485879
1030,2022-10-12 00:00:00+00:00,By @elonmusk,ukraine,0.5779772246010927
1031,2022-10-12 00:00:00+00:00,Mentions @elonmusk,ukraine,5.045449917209094
1032,2022-10-13 00:00:00+00:00,By @elonmusk,ukraine,1.0991827495641817
1033,2022-10-13 00:00:00+00:00,Mentions @elonmusk,ukraine,2.059765575976234
1838,2022-06-01 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1839,2022-06-02 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1840,2022-06-03 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1841,2022-06-04 00:00:00+00:00,Mentions @elonmusk,russia,1.0
1842,2022-06-05 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1843,2022-06-06 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1844,2022-06-07 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1845,2022-06-08 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1846,2022-06-09 00:00:00+00:00,Mentions @elonmusk,russia,1.0529374994651999
1847,2022-06-10 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1848,2022-06-11 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1849,2022-06-12 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1850,2022-06-13 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1851,2022-06-14 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1852,2022-06-15 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1853,2022-06-16 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1854,2022-06-17 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1855,2022-06-18 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1856,2022-06-19 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1857,2022-06-20 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1858,2022-06-21 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1859,2022-06-22 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1860,2022-06-23 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1861,2022-06-24 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1862,2022-06-25 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1863,2022-06-26 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1864,2022-06-27 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1865,2022-06-28 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1866,2022-06-29 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1867,2022-06-30 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1868,2022-07-01 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1869,2022-07-02 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1870,2022-07-03 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1871,2022-07-04 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1872,2022-07-05 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1873,2022-07-06 00:00:00+00:00,By @elonmusk,russia,0.0
1874,2022-07-06 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1875,2022-07-07 00:00:00+00:00,By @elonmusk,russia,0.0
1876,2022-07-07 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1877,2022-07-08 00:00:00+00:00,By @elonmusk,russia,0.0
1878,2022-07-08 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1879,2022-07-09 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1880,2022-07-10 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1881,2022-07-11 00:00:00+00:00,By @elonmusk,russia,0.0
1882,2022-07-11 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1883,2022-07-12 00:00:00+00:00,By @elonmusk,russia,0.0
1884,2022-07-12 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1885,2022-07-13 00:00:00+00:00,By @elonmusk,russia,0.0
1886,2022-07-13 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1887,2022-07-14 00:00:00+00:00,By @elonmusk,russia,0.0
1888,2022-07-14 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1889,2022-07-15 00:00:00+00:00,By @elonmusk,russia,0.0
1890,2022-07-15 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1891,2022-07-16 00:00:00+00:00,By @elonmusk,russia,0.0
1892,2022-07-16 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1893,2022-07-17 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1894,2022-07-18 00:00:00+00:00,By @elonmusk,russia,0.0
1895,2022-07-18 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1896,2022-07-19 00:00:00+00:00,By @elonmusk,russia,0.0
1897,2022-07-19 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1898,2022-07-20 00:00:00+00:00,By @elonmusk,russia,0.0
1899,2022-07-20 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1900,2022-07-21 00:00:00+00:00,By @elonmusk,russia,0.0
1901,2022-07-21 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1902,2022-07-22 00:00:00+00:00,By @elonmusk,russia,0.0
1903,2022-07-22 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1904,2022-07-23 00:00:00+00:00,By @elonmusk,russia,0.0
1905,2022-07-23 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1906,2022-07-24 00:00:00+00:00,By @elonmusk,russia,0.0
1907,2022-07-24 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1908,2022-07-25 00:00:00+00:00,By @elonmusk,russia,0.0
1909,2022-07-25 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1910,2022-07-26 00:00:00+00:00,By @elonmusk,russia,0.0
1911,2022-07-26 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1912,2022-07-27 00:00:00+00:00,By @elonmusk,russia,0.0
1913,2022-07-27 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1914,2022-07-28 00:00:00+00:00,By @elonmusk,russia,0.0
1915,2022-07-28 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1916,2022-07-29 00:00:00+00:00,By @elonmusk,russia,0.0
1917,2022-07-29 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1918,2022-07-30 00:00:00+00:00,By @elonmusk,russia,0.0
1919,2022-07-30 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1920,2022-07-31 00:00:00+00:00,By @elonmusk,russia,0.0
1921,2022-07-31 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1922,2022-08-01 00:00:00+00:00,By @elonmusk,russia,0.0
1923,2022-08-01 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1924,2022-08-02 00:00:00+00:00,By @elonmusk,russia,0.0
1925,2022-08-02 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1926,2022-08-03 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1927,2022-08-04 00:00:00+00:00,By @elonmusk,russia,0.0
1928,2022-08-04 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1929,2022-08-05 00:00:00+00:00,By @elonmusk,russia,0.0
1930,2022-08-05 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1931,2022-08-06 00:00:00+00:00,By @elonmusk,russia,0.0
1932,2022-08-06 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1933,2022-08-07 00:00:00+00:00,By @elonmusk,russia,0.0
1934,2022-08-07 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1935,2022-08-08 00:00:00+00:00,By @elonmusk,russia,0.0
1936,2022-08-08 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1937,2022-08-09 00:00:00+00:00,By @elonmusk,russia,0.0
1938,2022-08-09 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1939,2022-08-10 00:00:00+00:00,By @elonmusk,russia,0.0
1940,2022-08-10 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1941,2022-08-11 00:00:00+00:00,By @elonmusk,russia,0.0
1942,2022-08-11 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1943,2022-08-12 00:00:00+00:00,By @elonmusk,russia,0.0
1944,2022-08-12 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1945,2022-08-13 00:00:00+00:00,By @elonmusk,russia,0.0
1946,2022-08-13 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1947,2022-08-14 00:00:00+00:00,By @elonmusk,russia,0.0
1948,2022-08-14 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1949,2022-08-15 00:00:00+00:00,By @elonmusk,russia,0.0
1950,2022-08-15 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1951,2022-08-16 00:00:00+00:00,By @elonmusk,russia,0.0
1952,2022-08-16 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1953,2022-08-17 00:00:00+00:00,By @elonmusk,russia,0.0
1954,2022-08-17 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1955,2022-08-18 00:00:00+00:00,By @elonmusk,russia,0.0
1956,2022-08-18 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1957,2022-08-19 00:00:00+00:00,By @elonmusk,russia,0.0
1958,2022-08-19 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1959,2022-08-20 00:00:00+00:00,By @elonmusk,russia,0.0
1960,2022-08-20 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1961,2022-08-21 00:00:00+00:00,By @elonmusk,russia,0.0
1962,2022-08-21 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1963,2022-08-22 00:00:00+00:00,By @elonmusk,russia,0.0
1964,2022-08-22 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1965,2022-08-23 00:00:00+00:00,By @elonmusk,russia,0.0
1966,2022-08-23 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1967,2022-08-24 00:00:00+00:00,By @elonmusk,russia,0.0
1968,2022-08-24 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1969,2022-08-25 00:00:00+00:00,By @elonmusk,russia,0.0
1970,2022-08-25 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1971,2022-08-26 00:00:00+00:00,By @elonmusk,russia,0.0
1972,2022-08-26 00:00:00+00:00,Mentions @elonmusk,russia,0.0
1973,2022-08-27 00:00:00+00:00,By @elonmusk,russia,0.0
